date;employee_title;employee_status;review_title;pros;cons
2021-09-22;Anonymous;Former Employee;average company to work in;"Not too much pressure, well paid
";"old-fashioned management, business change in energy industry
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-22;Pipeline Controller;Current Employee, more than 5 years;Highly Competitive Pipeline Company;"401K match, Time Off, Health Benefits, Fitness Center, Full restaurant and cafeteria, state of the art facilities, diversity, Education Reimbursement, Insurance
";"Transparency, Nepotism, Favoritism, Global Warming
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-07;Trading Analyst;Current Employee, more than 3 years;Great Company;"Flex schedule, reasonable hours, benefits
";"Regular layoffs, but that's in any oil and gas
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-22;Facilities Engineer;Current Employee, more than 5 years;Great Benefits and Opportunities;"Great pay and benefits. Company really cares about their employees. They hire very talented and genuinely good people.
";"Very large and beurocratic. Red tape can make it challenging and frustrating to get work done.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-20;Drilling Supervisor;Current Employee;Shell;"Good work life balance. Large company with good amount of opportunity.
";"Lower paying than most other oil companies. Going green is a high priority, losing sight of what we are good at.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-20;Offshore Engineer;Current Employee;great pay, great benifits;"Great pay along with great benefits
";"Work life balance can be a challenge
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-10;Associate Director;Former Employee;Horible;"None, they are ruthless people
";"Horrible Culture, they are literally trying to destroy our earth. Then hire an expensive PR agency to hide all their wrongdoings.
Advice to Management
Go electric
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-19;Petrophysical Engineer;Current Employee;Good place to work for;"Good pay, interesting and engaging projects
";"too many reorgs, many processes
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-19;Retired Engineer;Former Employee;No longer recommend;"Compensation is highly competitive for high performing staff
";"Dirty high emissions energy producer
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-03;Cashier;Current Employee, less than 1 year;Good job for someone in college;"Time passes by very fast. Get to know new customers every day.
";"Poor management, lack of communication.
Advice to Management
Positive attitude towards employees would go a long way.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-17;Logistics Planner;Former Employee, more than 8 years;Good Company;"Excellent Pay, Benefits and ahead of the curve work-life balance, flexible schedules
";"Outsourcing and organizational reshaping is to be expected at every 3-5 years which may have you applying to keep your own job that you've been doing well.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-13;Anonymous;Former Employee, more than 8 years;Shell;"Good company to work for.
";"Lousy work life balance. Arrogant.
1 person found this review helpful
Helpful
Share
Repor"
2021-09-02;Business Analyst;Former Employee;Great place to work;"Shell is a great place to work.
";"Big company, easy to get lost.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-16;Human Resources Account Manager;Former Employee, more than 1 year;Great company, but lots of change;"- robust processes 
- hire very bright people 
- lots of room for growth
";"- constant layoffs and fear of losing your job 
- lots of bureaucracy
Advice to Management
Listen to employees more.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-16;Risk Analyst;Former Employee, more than 8 years;Very Political Organisation;"The pay and benefits are good and the work-life balance was good.
";"It's a very political organisation. It is hard to move jobs or get a promotion unless you know someone.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-15;Sales Associate%2FCashier;Current Employee;Cashier;"flexible,job security, easy, not stressful
";"low pay, customer service, boring,
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-31;Anonymous;Former Employee, more than 1 year;Really good;"get to know a lot of people
";"on your feet all day
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-30;Stocker;Current Employee, less than 1 year;great people;"nice coworkers understanding helpful nice attitude wile helping you understand your job and responsibilities
";"none i can think of at the moment
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-11;Cashier;Current Employee;Great;"I really enjoy working as shell they treat me well
";"Pay is very low and job is taxing
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-24;Customer Service Representative (CSR);Former Employee, less than 1 year;Fun;"Nice people to work for
";"Hard learning the registers. Very outdated.
Advice to Management
Get new technology in the store
1 person found this review helpful
Helpful
Share
Repor"
2021-09-09;Store Manager;Former Employee;Great Perks;"Fun Job to work with family like community.
";"Hours, Short Staff, Not enough People
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-09;Geospatial Analyst;Current Employee, more than 8 years;Great company to work for if you are a career oriented person;"Good pay
Great company culture within teams
";"Hard to make use of leave entitlement
Be the first to find this review helpful
Helpful
Share
Repor"
2021-10-01;Process Operator;Former Employee, more than 10 years;Process technician;"Decent pay and benefits. A few perks
";"Terrible management. No one is held accountable
Advice to Management
Learn your job and perform it.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-24;Production Geologist;Former Employee, more than 3 years;Excellent Company!;"- From the geologic and engineering perspective, every single person I worked with was extremely smart or accomplished in some way
- People really seem to really try to understand one another 
- Outstanding Benefits!
- Pay is very good
- Many opportunities for professional learning and growth
- Hours are mostly reasonable
";"- Everybody is very driven to be their best, which can cause clash of personalities, but this happens in many firms
Advice to Management
N/A
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-09;Customer Service;Former Employee, less than 1 year;Lack of hours;"Friendly customers 
Management was Friendly 
Clean 
Police Station near by
";"Location to far from my house 
Not enough hours or days of work 
Pay could of been more 
No benefits
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-06;Retail Store Cashier;Former Employee;alright job;"normal retail job like any other
";"rude customers
no benefits and not that safe compared to other jobs
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-21;Maintenance Engineer;Current Employee, more than 1 year;Excelent Benefits and Pay;"- Best benefits and pay in the industry
- Have the chance to gain and learn additional skills and chances to experience different roles
- Collaborate with colleagues from all around the world
- Work with really smart colleagues
- A lot of paid time off and vacations
";"- Feel like your work doesn't have as much of an impact since it's such a big company, the progress you do in your role might be erased by the frequent chance in management and/or company processes were you are forced to start over or scrapping a project or campaign all together.
- Lot's of red tape to do things since it's such a large company.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-03;Cashier, Crew Member, and Baker;Current Employee, more than 1 year;Shell gas station in bald knob;"Get job experience
There's a Christmas bonus every year
";"At night there is only one person who works your there all by yourself
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-02;Senior Analyst;Current Employee, more than 3 years;I love it at shel.;"Flexible especially during this COVID era.
";"None that I can think about.
Advice to Management
Listen to junior enployees
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-02;Recruiter;Former Employee, more than 1 year;Mediocre time, cool company;"Nice people and work ethic
";"micromanagement from some bosses but not too bad
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-18;Reliability Engineer;Current Employee, more than 5 years;Great Company;"No complaints. Great salary and benefits
";"Competitive culture and tough to advance quickly
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-01;Trader;Current Employee;Job at shell;"It’s a nice place to work
";"None I can think of
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-17;Learning And Development Specialist;Current Employee, more than 10 years;Amazing company;"Wonderful, intelligent people 
Diverse workforce spread across the globe
Great flexibility and support for family life
";"It’s difficult for me to think of anything. I have truly enjoyed my last 15 years and intend on working at least 10 more here.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-31;Cashier;Former Employee, less than 1 year;waited 5 months;"free drinks from the soda fountain
";"they didn't pay me what they were supposed to waited months for the raise and never got it. once i decided to quit they told me to wait but i waited plenty
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-29;Engineer;Current Employee;Great Company;"Culture and benefits are great.
";"As a big company it is a bit slow on decision-making.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-14;Manager Assistant;Former Employee, less than 1 year;Great boss --> great job;"Boss was very friendly and coworkers were great. Good exercise as well and got to meet a lot of people.
";"Can be physically demanding to some, at times I was exhausted. Pay was minimum, but I got a small raise a month after working there.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-19;Cashier;Former Employee, more than 1 year;go to another gas station;"At the moment, the manager was nice
";"- horrible pay
-lack of communication
- no room for growth
Advice to Management
Actually, listen to employees
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-13;Data Scientist;Current Employee;Work Culture Hard to Beat;"Work with some of the smartest people in Upstream Oil and Gas I have ever met. Every person is approachable and helpful. Most folks are humble as well. 9/80 is an enjoyable perk.
";"Departments sometimes tend to be siloed, so finding the right person or contact involves extensive networking.
Advice to Management
I think I need more time to answer this question.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-26;Communications Specialist;Former Employee;Old school but cash rich;"Stable, generous, big projects, big brand, loyal
";"Not the future, dinosaur, must reapply for new job every few years
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-16;Senior Engineer;Former Employee, more than 8 years;Rotten Leadership;"Good money, many good people
";"Manager rotten to the core, violated every single discrimination, including race, gender, sexual orientation. Complained by multiple people for harassment, yet HR failed to take proper action, the manager even got promoted with big raise. Half the team lost their faith and left the company.
Advice to Management
Don't buy into the corporate values mumbo jumbo, managers don't lead by example. If you face harassment, don't bother to complain to HR, because HR will only protect the managers, not you. Complaining will only lead to retaliation, even though HR tells you it is not allowed, don't believe it. Essentially, your career will be gone. Best is to move to another company, and don't wait too long like me.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-10;Closing Coordinator;Former Employee;Great;"Pay and Benefits are great
Coworkers generally very friendly and ethical
Many opportunities to grow or move into different areas
";"Demanding schedule and work / life balance
Slow to embrace remote work prior to Covid
Decreasing presence in US job market
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-10;Gas Station Attendant;Current Employee;Great!;"Pay is Great here at shell!
";"N/A its Great at shell !
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-19;Sales Associate;Current Employee, more than 3 years;Happy to work.;"Good pay, competitive benefits, great teamwork, flexible hours, gorgeous office, discount on gas, business casual Fridays.
";"Too many meetings with supervisors. Redundant management. Conducting meetings over VoIP. Hard to find parking so get there early. Office is a tad warm in the summer.
Advice to Management
Less meetings, communicate better, be reasonable with expectations of sales performance.
1 person found this review helpful
Helpful
Share
Repor"
2021-08-05;Hsse Manager;Former Employee, more than 10 years;Many opportunities to grow professionally;"Shell is a global company that is involved in every aspect of Energy. This provides many opportunities for individuals to grow professionally by working for many different parts of the industry from traditional Oil and Gas to the growing Renewables businesses. There is an expectation that professionals should continue to learn and grow, taking on new roles with more responsibilities.
";"Shell is trying to be more agile as a company, but still has a way to go in this area. So it can be frustrating how long business decisions can take.
Advice to Management
Keep focus on changing the company to make it more competitive in the future.
1 person found this review helpful
Helpful
Share
Repor"
2021-08-20;Project Engineer;Current Employee, more than 3 years;Mixed Review - Experience will vary;"Very high pay compared to other engineering jobs. Starting salary was 50% higher out of college than average starting salary for someone with an engineering degree. Bonus is good (when we get one). Great relocation benefits when the company asks you to move. Work-life balance can be good depending on your role.
";"Strange company culture. The company expects employees to work for them forever. Company expects 100% loyalty, but doesn't offer it in return. Talking about anything outside the company is taboo, whether it is an idea that originated from outside the company, part-time continuing education at a university, or future career plans. Company offers tuition reimbursement as a benefit, but there never seems to be budget for it and you're always told it won't help your career and there are plenty of internal trainings to take. Company moved IT and HR to an offshore call center. Anytime you need to talk to someone from HR or IT you need to call a 1800 number and get put on hold for hours and then receive poor customer service. The company's back office financial department is a mess. Nobody knows how to get invoices paid on time or bill from one department to another. Promotions are based on years with the company (they don't really care if you had 10 year of experience at another company before joining the company), internal certifications that mean nothing outside of the company, and who you know. Company expects you to relocate with your family every few years. I've seen this destroy families. Very burocratic company, everything is driven by process, but it seems like nobody knows the process, and it seems like there are multiple processes for the same thing.
Advice to Management
None, I think the company is so big that things are not able to be changed.
1 person found this review helpful
Helpful
Share
Repor"
2021-08-21;Engineer;Current Employee, more than 5 years;OK, but company outlook is grim and growth opportunities are limited;"- Pay is well and beats competitors in similar industry.
- Before Convent personnel joined, culture was friendly.
- 9/80 flex schedule.
";"- Culture is starting to become harsh and toxic. Convent culture is polluting the leadership team.
- Growth opportunities are limited. Once upon a time there were plenty of growth opportunities across the Shell businesses. Now its non-existent. Manufacturing employees are seen as black sheep of Shell business.
- Leadership does not practice what is preached. 
- Company politics involved with personnel moves and promotions.
- Terrible reliability and operational performance that metrics are hiding.
- Over worked Engineers nights and weekends for areas they do not support.
- No focus on career path. Development plan is a paper work exercise for managers.
Advice to Management
Listen to your employees. Shell People Survey results are speaking the truth. Correct the issues before employees continue to leave.
1 person found this review helpful
Helpful
Share
Repor"
2021-08-06;Sales Associate/Cashier;Current Employee;Sales Associate/Cashier;"Fast-paced easy work with opportunities to build customer service skills. Flexible schedule and good employee benefits
";"You have to stand the whole shift but you do get to sit during breaks. Sometimes you have to deal with angry customer. Must have patience
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-05;Senior User Experience Designer;Former Employee, more than 1 year;Great Place To Work;"Great benefits and competitive pay. Lots of opportunities to move around without having to change employers. Interesting industry and opportunity to contribute to a global footprint.
";"Can feel like things are moving slowly. There is a lot of reorganization which can often feel disorienting to those who are looking for more job stability.
Advice to Management
Take IT more seriously. Digital manufacturing is where you are headed and the leadership is ill prepared.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-10;Anonymous;Current Employee, more than 3 years;Terrible;"Not a single thing here
";"Too much to word but terrible place
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-19;Assistant Manager;Current Employee, more than 3 years;POS;"Good pay
Flexibility
Overtime work
They support people who is trying to pay for college.
Have opportunities for growth and promotion
";"Management is very messy.
Sometimes have to do work of others because there are so many no shows.
Rude customers
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-17;Material Planner;Former Employee, more than 1 year;WARNING....Worst Work/life balance;"Worked at Shell in Woodcreek in Houston, TX. The only thing that was worth about working for Shell oil sector was the pay. Eventhough I never received a bonus.
";"No bonus because they are subjective based on how the company performs. 

The worst work/life balance I had ever experience. They ""give"" you every other Friday off, however, you better be online working or else you will fall behind. I would find myself working sometimes until midnight during the week to keep up with work. At times, I would work on the weekends to stay up to date and would notice my coworkers and cross-functional teams would be doing the same as they would be ""online"" via skype. Shell used skype (like many use Zoom) for you to show your online status (offline, away, in a meeting, etc.). Managers would use your online status to gauge how ""good"" of an employee you were. I was warned/counseled by my upper management because they noticed my online status had been ""away"" 3 times in a day for 20 mins each time and to them that was unacceptable. Diversity and Inclusion is not a top priority. If your last name did not start with ""Van something"" or you are not Dutch, forget about climbing the corporate ladder there. Dealt with 5 reorganizations in two years, which means it is very unstable and many people kept getting laid off.
Advice to Management
Stop walking around the floors like you are some big shot and humble yourselves.
1 person found this review helpful
Helpful
Share
Repor"
2021-08-02;Engineer;Current Employee;Great company;"Great benefits and competitive pay
";"Cyclical nature of the oil and gas business
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-02;Loading Support Analyst;Former Employee, more than 5 years;Customer service rep;"Provided great experience for growth. Refined my skills as a professional. Help provide great work - life balance.
";"My experience at shell was overall an great experience. I’m grateful for the opportunity to work for them unfortunately my position was outsourced.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-30;Technical Services Engineer;Current Employee, more than 8 years;N/A;"able to work from home
";"a good bit of travel, alot of red tape.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-28;Commercial Operations;Current Employee, more than 3 years;Commercial Operations;"Amazing team. High sophistication. Fast paced. Really felt like i was making an impact. Downtown location.
";"Downtown location. Stress and intensity can be extremely high, especially during hurricane season and other natural disasters. Must be on call frequently.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-06;Anonymous;Current Employee, more than 3 years;Pros & Cons;& ;"Aug 6, 2021 - Anonymous Employee in Houston, TX
Recommend
CEO Approval
Business Outlook
Pros
great pay, good benefits (especially Houston healthcare system), fantastic work-life balance, global reach (although each region has their own pros/cons), ratable advancement
Cons
Due to the oil and gas industry, roles are typically 9-5 corporate jobs - not that exciting, small scope. You will need to grind away a few years before being placed/qualify for more interesting projects.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-22;Project Engineer;Current Employee, more than 1 year;Great company to work for;"Extremely competitive benefits. Truly cares about employee satisfacton.
";"Lots of beurocracy. Everything is slow.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-22;Gas Station Attendant;Current Employee;Great company!;"Incentives, Bonuses, Flexible, Benefits, Fun environment
";"None that I can think of
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-22;Customer Service Representative;Current Employee, more than 5 years;N/A;"Because they offer benefits and others
";"They need to employ more people
Advice to Management
N/A
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-22;Engineer;Current Employee, more than 8 years;Great Company;"Great work life balance and pay
";"Large company with long processes that delay decisions
Advice to Management
Improve company morale by providing more transferable skills
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-05;Cashier;Current Employee, more than 3 years;Good workplace;"Helping customers for gas and shopping, handling cash is a good way to manage and adquire experience.
";"Some customers are bad at handling their moods, so you have to handle any situation, even with dangerous people.
Advice to Management
Raise the wage
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-04;Operator;Current Employee;Good company;"Great people and good values.
";"Biggest con is how big the company is.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-04;Customer Service Representative (CSR);Former Employee;Not a positive atmosphere.;"They accompanied the shift I requested.
";"They tried to keep my last check , eventually they released it.
Advice to Management
Representatives with a positive attitude, there is no way to advance here.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-19;Cashier;Current Employee;Good paying job;"Worked hard and the pay was very good
";"Handling alot of customers at once can be overwhelming
Advice to Management
Making it a more safer place
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-30;Safety Instrumented Systems Engineer;Current Employee, more than 10 years;High stress, highly political & competitive, good pay / benefits;"Pay and benefits seem to be above or at average for skilled discipline engineering positions.
";"Work environments are highly political and competitive. Known issues with backstabbing / bullying. All positions are taxed heavily with responsibilities and expectations causing a very high stress work environment. Recent corporate push to reduce discipline engineering pay opportunities. Recent corporate downsizing cutting many job and limiting career advancement opportunities.
1 person found this review helpful
Helpful
Share
Repor"
2021-07-29;Product Manager;Current Employee, more than 5 years;RDS Company Review;"Transitioning company through energy transition
Thought leadership
Compensation/Benefits
Work Flexibility
Generally good leaders
Brand recognition
";"Large corporate politics
Frequent re-organizations
Poor bonus performance the last few years.
New leadership
Constant leadership churn
Slow to move
1 person found this review helpful
Helpful
Share
Repor"
2021-07-30;Assistant Manager;Former Employee, more than 10 years;Assistant manager/1st shift store associate;"Managed and operated all cash registers, store safe, store ATM, and hand held inventory tracking system also manufactured inventory accuracy by counting stock on-hand and reconciling any discrepancies with vendors or customers.
";"Employee theft, lack of supervision by upper management, unwillingness from upper management to reprimand employees, lack of motivated team members, no accountability required by anyone,
Advice to Management
Pay much closer attention to transactions and supporting video footage.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-14;Cashier;Current Employee, more than 1 year;Ok;"Good pay Friendly Flexible Worthy Easy
";"I don’t have any cons
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-28;Manager;Current Employee, less than 1 year;company review;"Great company with great benefits. Wide exposure to cutting edge projects. Job satisfaction and relative stability. Great work-life balance
";"Some interesting projects that have exciting scopes are outsourced to contractors. This makes it difficult to get hands on experience for such projects.
Be the first to find this review helpful
Helpful
Share
Repor"
